GRB_name	timebin	E_peak	Epeak_err	Luminosity	Luminosity_err	beta
GRB081118876	0	2.544249	0.037431	5.200607e+01	1.359538e-01	-2.923582
GRB081118876	1	2.288629	0.054766	5.171503e+01	1.214091e-01	-2.987214
GRB081221681	0	2.536952	0.013304	5.239123e+01	4.861650e-02	-3.645138
GRB081221681	1	2.512110	0.012046	5.211867e+01	3.578945e-02	-100.000000
GRB081221681	2	2.543166	0.021539	5.238309e+01	5.571701e-02	-3.503926
GRB081221681	3	2.377268	0.010671	5.216685e+01	3.074642e-02	-3.594454
GRB081221681	4	2.353896	0.021659	5.208332e+01	5.138287e-02	-3.458756
GRB081221681	5	2.277135	0.067362	5.207232e+01	9.428806e-02	-2.833727
GRB081221681	6	2.241723	0.043383	5.181649e+01	7.868201e-02	-3.347333
GRB081221681	7	2.157517	0.027904	5.160327e+01	6.024599e-02	-3.364735
GRB081221681	8	2.043179	0.031766	5.098297e+01	1.114017e-01	-100.000000
GRB081222204	0	2.783418	0.180773	5.271305e+01	1.020309e-01	-1.759571
GRB081222204	1	3.121051	0.137892	5.247242e+01	2.734933e-01	-2.901995
GRB081222204	2	2.831913	0.030154	5.240345e+01	1.321211e-01	-2.945432
GRB081222204	3	2.688727	0.044992	5.173338e+01	1.434193e-01	-100.000000
GRB081222204	4	2.476375	0.137865	5.185569e+01	1.463143e-01	-2.277731
GRB090926914	0	2.371133	0.023865	5.116640e+01	5.390312e-02	-3.459833
GRB090926914	1	2.184811	0.021127	5.086810e+01	5.019250e-02	-3.597997
GRB090926914	2	2.131437	0.049789	5.066053e+01	7.523232e-02	-3.160225
GRB100728439	0	2.532832	0.088008	5.205813e+01	1.353800e-01	-2.169752
GRB100816026	0	2.393869	0.026440	5.158893e+01	3.661296e-02	-2.682299
GRB110213220	0	2.443066	0.097204	5.167708e+01	1.152186e-01	-2.700974
GRB110213220	1	2.307512	0.066729	5.192918e+01	6.999135e-02	-2.814090
GRB110213220	2	2.182580	0.085653	5.174052e+01	7.428968e-02	-2.847714
GRB110213220	3	2.082862	0.104546	5.161529e+01	7.356037e-02	-2.430600
GRB110213220	4	1.782663	0.203639	5.141185e+01	2.976598e-02	-2.057333
GRB110213220	5	1.881437	0.087639	5.108500e+01	6.538094e-02	-2.608071
GRB120326056	0	2.034669	0.439673	5.219443e+01	3.078679e-01	-2.639452
GRB120326056	1	2.022753	0.054884	5.138752e+01	8.232833e-02	-2.792777
GRB120326056	2	1.952977	0.104830	5.118205e+01	1.146318e-01	-2.964294
GRB120729456	0	2.480785	0.168985	5.096785e+01	1.329755e-01	-2.048035
GRB120729456	1	1.994435	0.096440	5.107426e+01	3.506620e-02	-1.701782
GRB120811649	0	2.162969	0.048331	5.195242e+01	7.670446e-02	-2.505937
GRB131011741	0	2.992891	0.086497	5.199692e+01	1.932152e-01	-2.477458
GRB131011741	1	2.496753	0.150597	5.168135e+01	8.371702e-02	-1.963699
